명 칭,소 재 지,건물 연면적(㎡),소장 장서수(권),비고
열두광주리어린이도서관,"대전광역시 중구 수침로55번길 25, (태평동)",105,"2,500",사립
오류동 삼성아파트도서관,"대전광역시 중구 계룡로 852, (오류동, 삼성아파트)",101.48,"10,486",사립
오류동마을문고,"대전광역시 중구 오류로 56, (오류동)",38.6,"1,263",공립
용두동 마을문고,"대전광역시 중구 동서대로1322번길 111, (용두동)",72.7,"5,112",공립
유천어린이도서관,"대전광역시 중구 문화로105번길 24, (유천동)",106.1,"3,500",사립
은행선화동마을문고,"대전광역시 중구 보문로337번길 33, (선화동)",40,"5,221",공립
주안문고,"대전광역시 중구 대둔산로 488, (산성동)",39.6,"2,632",사립
중촌동마을문고,"대전광역시 중구 대종로 663-7, (중촌동)",43,"4,216",공립
중촌마을어린이도서관&#39;짜장&#39;,"대전광역시 중구 목중로70번길 15, (중촌동)",83.1,"8,430",사립
짝꿍마을어린이도서관,"대전광역시 중구 수침로55번길 36, (태평동)",118,"9,310",사립
청춘 책방 &#39;책 한그릇&#39;,"대전광역시 중구 대흥로157번길 48, (대흥동)",64.1,"1,949",사립
태평1동 마을문고,"대전광역시 중구 동서대로 1234, (태평동)",150.42,"4,771",공립
푸른솔문고,"대전광역시 중구 보문로 184, (대흥동)",51,"2,650",사립
하늘꿈 작은도서관,"대전광역시 중구 가재울로16번길 1, (산성동)",49.58,"2,000",사립
하하호호 작은도서관,"대전광역시 중구 대종로 460, (대흥동)",92.24,"1,525",사립
한마음작은도서관,"대전광역시 중구 대흥로 26, (대사동)",171.7,"2,794",사립
한빛작은도서관,"대전광역시 중구 유천로102번길 53, (유천동)",72.8,"10,000",사립
해바라기문고,"대전광역시 중구 태평로 118, (태평동)",34,"1,864",사립
효문화관리원 효독서체험관,"대전광역시 중구 뿌리공원로 47, (안영동)",105,"5,341",공립
(재)대전평생교육진흥원,"대전광역시 중구 보문로 287, (선화동)",49.92,"2,500",사립
(재)한국효문화진흥원 효문화정보실,"대전광역시 중구 뿌리공원로 45, (안영동)",192.49,"2,941",사립
가수원작은도서관,"대전광역시 서구 벌곡로1379번길 14, (가수원동)",56.31,"1,500",사립
가족행복도서관,"대전광역시 서구 신갈마로 95, (갈마동, 갈마아파트)",43.472,"1,350",사립
갈마마을땅콩도서관,"대전광역시 서구 계룡로326번길 175, (갈마동)",70,"8,493",사립
관저마루작은도서관,"대전광역시 서구 관저북로 24, (관저동)",427.05,"12,149",공립
꿈꾸는도서관,"대전광역시 서구 변동로 106, (변동)",34.6,"4,091",사립
꿈터마을어린이도서관,"대전광역시 서구 월평서로 10-1, (월평동)",143,"9,914",사립
꿈터작은도서관,"대전광역시 서구 배재로 266, (내동)",37.7,"1,250",사립
나눔의도서관아가페,"대전광역시 서구 가수원로 47, (가수원동)",110,"4,631",사립
내동영명도서관,"대전광역시 서구 도솔로252번길 7-8, (내동)",86,"8,518",사립
내동작은나무마을어린이도서관,"대전광역시 서구 동서대로1014번길 10, (내동)",375.38,"13,102",사립
녹원아파트작은도서관,"대전광역시 서구 둔산남로 30, (둔산동, 녹원아파트)",59.4,"4,133",사립
